,Midoenvelope_ID,whole_plant_seed_wt_g,five_raceme_mass_g,number_of_racemes,Sub Sample,notes,Unnamed: 6,imageFile,imageName,weightMeasured
900,3926,0.8435,0.0606,,,,,True,3926,True
901,3927,3.2691,0.0111,,0.1976,,,True,3927,True
902,3928,0.0928,0.061,,,,,True,3928,True
903,3929,1.7388,0.0115,,,,,True,3929,True
904,3930,5.2434,0.4451,,0.2404,,,True,3930,True
905,3931,1.7164,0.3924,,0.2496,,,True,3931,True
906,3932,6.517,0.8678,,0.3584,,,True,3932,True
907,3933,0.2776,0.0396,,,,,True,3933,True
908,3934,2.2414,0.1225,,,,,True,3934,True
909,3935,0.147,0.1797,,,,,True,3935,True
910,3936,0.0017,0.4353,,0.2844,,,True,3936,True
911,3937,12.005,0.9001,,0.3195,,,True,3937,True
912,3938,0.1608,0.055,,,,,True,3938,True
913,3939,0.5937,0.1202,,,,,True,3939,True
914,3940,0.0848,0.1925,,,,,True,3940,True
915,3941,8.2601,0.8147,,0.2045,,,True,3941,True
916,3942,0.0279,0,,,,,False,3942,
917,3943,2.1584,0.7398,,0.3169,,,True,3943,True
918,3944,0.0089,0,,,,,False,3944,
919,3945,1.7907,0.0855,,,,,True,3945,True
920,3946,3.9351,0.2884,,0.1711,,,True,3946,True
921,3947,1.8345,1.2785,,0.3975,,,True,3947,True
922,3948,0.3286,3.6747,,0.2395,,,True,3948,True
923,3949,0.2837,1.1151,,0.4359,,,True,3949,True
924,3950,1.2049,0.8916,,,,,False,3950,
925,3951,0.4677,0.7985,,0.2269,,,True,3951,True
926,3952,0.6036,0.1915,,,,,True,3952,True
927,3953,6.0326,1.4086,,0.2748,,,True,3953,True
928,3954,10.199,0.9931,,0.3242,,,True,3954,True
929,3955,0,0,No seed,,,,False,3955,
930,3956,0.015,0,,,,,False,3956,
931,3957,2.823,0.5449,,0.1937,,,True,3957,True
932,3958,3.9251,0,,,,,False,3958,
933,3959,0.3265,0.2387,,,,,False,3959,
934,3960,0.02,0,,,,,False,3960,
935,3961,0.0365,0.0451,,,,,True,3961,True
936,3962,2.4774,0.205,,0.1567,,,True,3962,True
937,3963,8.2125,0.8054,,,,,False,3963,
938,3964,0.7054,1.1142,,0.1968,,,False,3964,
939,3965,0.7853,0.3161,,,,,False,3965,
940,3966,3.537,1.3666,,0.3472,,,False,3966,
941,3967,1.8901,1.3365,,0.3046,,,False,3967,
942,3968,1.0119,0.7916,,,,,False,3968,
943,3969,0.8281,0.5284,,0.187,,,True,3969,True
944,3970,0,0,0,,,,False,3970,
945,3971,7.8375,1.0509,,0.2243,,,True,3971,True
946,3972,0.007,0.1956,2,,,,False,3972,
947,3973,3.2512,0.6702,,,,,False,3973,
948,3974,3.8572,1.131,,0.3311,,,False,3974,
949,3975,3.4863,0.5482,,,,,False,3975,
950,3976,3.8041,0.9025,,,,,True,3976,True
951,3976,2.3126,0.6208,,0.2086,,,True,3976,True
952,3977,4.0914,0.8701,,0.3663,,,False,3977,
953,3978,0.492,0.0456,,,,,True,3978,True
954,3979,0.3793,0.3709,,,,,False,3979,
955,3980,2.6089,0.9675,,0.238,,,True,3980,True
956,3981,0.0222,0.0739,,,,,True,3981,True
957,3982,0.0443,0.1173,,,,,True,3982,True
958,3983,0.7254,0.2668,,,,,True,3983,True
959,3984,0.7959,0.1189,,,,,True,3984,True
960,3985,0.0344,0.1394,,,,,True,3985,True
961,3986,1.1231,0.1528,,,,,False,3986,
962,3987,0.2402,0.0375,,,,,False,3987,
963,3988,0.055,0.0315,,,,,True,3988,True
964,3989,1.2984,0.2632,,0.1696,,,True,3989,True
965,3990,0.5972,0.1975,,,,,True,3990,True
966,3991,0.0651,0.0381,,,,,False,3991,
967,3992,0.1497,0.1299,,,,,False,3992,
968,3993,0.9766,0.4,,,,,False,3993,
969,3994,3.1116,0.4042,,0.214,,,True,3994,True
970,3995,1.1678,0.3686,,0.2017,,,True,3995,True
971,3996,0.0726,0.0856,,,,,True,3996,True
972,3997,0.0841,0.1536,,,,,True,3997,True
973,3998,0.6881,0.5597,,0.2889,,,True,3998,True
974,3999,0.7982,0.1558,,,,,False,3999,
975,4000,0.5038,0.4792,,,,,False,4000,
976,4001,2.0877,0.3025,,,,,True,4001,True
977,4001,2.092,0.1543,,0.1479,,,True,4001,True
978,4002,0.6207,0.0787,,,,,True,4002,True
979,4003,0.2768,0.1814,,,,,True,4003,True
980,4007,1.3331,0.0035,,,,,True,4007,True
981,4008,0.5866,0.1405,,,,,True,4008,True
982,4009,0.4903,0.0264,,,,,True,4009,True
983,4010,2.2192,0.0418,,,,,True,4010,True
984,4011,3.0815,0.1032,,,,,True,4011,True
985,4012,2.403,0.011,,,,,True,4012,True
986,4013,4.3138,0.2323,,0.1438,,,True,4013,True
987,4016,0.8421,0.0102,,,,,True,4016,True
988,4017,0.2475,0.1072,,,,,True,4017,True
989,4018,0.1882,0.015,,,,,True,4018,True
990,4019,0.0938,0.0593,,,,,True,4019,True
991,4020,2.322,0.1867,,,,,True,4020,True
992,4021,1.3386,0.2428,,0.1953,,,False,4021,
993,4022,0.6711,0.048,,,,,True,4022,True
994,4023,0.0411,0.0674,,,,,True,4023,True
995,4024,4.724,0.1047,,,,,True,4024,True
996,4025,1.2511,0.0428,,,,,True,4025,True
997,4026,0.812,0.0161,,,,,True,4026,True
998,4027,5.6215,0.0099,,,,,True,4027,True
999,4031,3.3344,0.1166,,,,,True,4031,True
1000,4035,1.0785,0.3239,,,,,True,4035,True
1001,4036,0.6867,0.0941,,,,,True,4036,True
1002,4037,1.8227,0.2443,,0.1567,,,True,4037,True
1003,4038,3.0708,0.1733,,,,,True,4038,True
1004,4038,3.0695,0.167,,,,,True,4038,True
1005,4039,3.0293,0.2785,,,,,True,4039,True
1006,4040,5.0706,0.2226,,,,,True,4040,True
1007,4041,2.9326,0.1336,,,,,True,4041,True
1008,4041,2.9308,0.1341,,,,,True,4041,True
1009,4042,0.5864,0.0626,,,,,True,4042,True
1010,4043,0.0073,0.0718,,,,,True,4043,True
1011,4044,1.7714,0.3693,,,,,True,4044,True
1012,4044,1.7742,0.1849,,0.1753,,,True,4044,True
1013,4046,2.8732,0.1126,,,,,True,4046,True
1014,4048,1.0193,0.094,,,,,True,4048,True
1015,4049,0.6066,0.0498,,,,,True,4049,True
1016,4050,0.8436,0.1146,,,,,True,4050,True
